account_id,username,user_profile,time_unfollowed,following_button,unfollow_button,actually_unfollowed,possible_404,time_checked,redo_following_button,redo_unfollow_button,redo_time,re_actually_unfollowed,re_possible_404,re_time_checked
8059681852,realacegaming,https://www.instagram.com/realacegaming,2019-05-19 13:06:34.352514,nan,nan,0,1,2019-05-26 06:02:27.540478,nan,nan,2019-06-02 17:33:48.731757,0,1,2019-06-12 16:44:30.424743
1371694639,myagi319,https://www.instagram.com/myagi319,2019-05-19 13:07:00.323788,nan,nan,0,0,2019-05-26 06:02:31.217138,nan,nan,2019-06-02 17:33:49.737856,0,0,2019-06-12 16:44:36.270044
6097877653,krazed.gg,https://www.instagram.com/krazed.gg,2019-05-19 13:07:24.950626,nan,nan,0,0,2019-05-26 06:02:34.446008,nan,nan,2019-06-02 17:33:50.744638,0,0,2019-06-12 16:44:41.425928
261836801,jmels14,https://www.instagram.com/jmels14,2019-05-19 13:07:51.005472,nan,nan,0,0,2019-05-26 06:02:38.163064,nan,nan,2019-06-02 17:33:51.751560,0,0,2019-06-12 16:44:47.211367
1913385277,nocturnal_tv_,https://www.instagram.com/nocturnal_tv_,2019-05-19 13:08:15.627742,nan,nan,0,1,2019-05-26 06:02:40.738039,nan,nan,2019-06-02 17:33:52.758529,0,1,2019-06-12 16:44:50.893274
8510407395,quantum_trigg3r,https://www.instagram.com/quantum_trigg3r,2019-05-19 13:08:41.335861,nan,nan,0,0,2019-05-26 06:02:44.475341,nan,nan,2019-06-02 17:33:53.763367,0,1,2019-06-12 16:44:54.566558
365730967,nickthawolf,https://www.instagram.com/nickthawolf,2019-05-19 13:09:10.599348,nan,nan,0,0,2019-05-26 06:02:48.188671,nan,nan,2019-06-02 17:33:54.770565,0,1,2019-06-12 16:44:58.195989
1490923508,xxrene95,https://www.instagram.com/xxrene95,2019-05-19 13:09:39.922480,nan,nan,0,0,2019-05-26 06:02:51.896434,nan,nan,2019-06-02 17:33:55.775220,0,0,2019-06-12 16:45:03.675938
7993652491,hid.clips,https://www.instagram.com/hid.clips,2019-05-19 13:10:12.785098,nan,nan,1,0,2019-05-26 06:02:55.679207,0.0,0.0,2019-06-02 17:34:14.601960,0,0,2019-06-12 16:45:09.141536
6665979397,tft_reaper,https://www.instagram.com/tft_reaper,2019-05-19 13:10:41.915945,nan,nan,1,0,2019-05-26 06:02:59.424226,0.0,0.0,2019-06-02 17:34:58.871331,0,0,2019-06-12 16:45:14.657550
8970709431,teamsolorush,https://www.instagram.com/teamsolorush,2019-05-19 13:11:11.056394,nan,nan,1,0,2019-05-26 06:03:03.566643,0.0,0.0,2019-06-02 17:35:43.303639,0,0,2019-06-12 16:45:20.174286
