account,follower,following
youthwagon,1,1
accountstore.ca,1,0
preston__m3,1,0
dom_lucci_twitch,1,1
hollywilliams469,1,0
abdulahad1739,1,0
callofduty_b_o_4,1,0
ttvpackable,1,1
serenduputy,1,0
tiovizion,1,1
geez3r71,1,1
abc494949494949,1,1
besbes1988,1,0
mzprofanity,1,1
mr_perfect_70480,1,0
duchesgaming,1,1
realest_rain,1,0
melbabyx,1,0
ftown_ghost,1,0
reece_kerr88,1,0
cristian_sera,1,0
youlanda_kaya_832,1,0
citizenbovine,1,0
gal_peterlin,1,1
silverfoxgamesps4,1,1
dillnivat,1,0
youplay4.cl,1,0
zizox0127,1,0
shadow01f,1,1
ig._kaneki,1,0
official_cheesey,1,1
sadcrypto,1,0
ttvprobuilder,1,0
playsonyzr,1,0
thezazzz,1,1
unmaskedorg,1,1
168_toruko,1,1
_wyih,1,0
the_mightymouseftw,1,1
twitch_mosesmeza,1,1
fast_voltage_gamer,1,1
its_maguadog,1,1
top.dx,1,0
jayptwitch,1,1
kingechosmart,1,1
vxnsy,0,1
fletch813,1,0
xaangooo,1,0
megatonhookshot,1,0
jksupertrooper1,1,1
guccigaming21,1,1
jollyzgoat,1,0
brujomeansorcerer84,1,1
gram.hugefo11owerz387,1,0
mrsxpanda,1,1
elliottsgaming,1,1
sheikh_memes,1,1
muxgraphics,1,0
gaming_fvnvtic,1,1
mercyfil,1,1
jayroc_08,1,1
shopefizzle,1,1
lyrawk22,1,0
jg_nectar,1,1
r3dversion,1,1
freneticgamescol,1,0
germanstreamer,1,1
puffadler,1,1
legolasstv7,1,0
jmalottius,1,1
mkrmakarevich,1,0
rgbtv_games,1,1
lyeslmmoddingl,1,0
shunderz,1,1
tommy_lovee,1,1
girl_gamer_18,1,0
dublincaliforniahomes,1,0
phridayentertainment,1,1
fouerno,1,1
6ix9ine_9,1,0
ahknu22,1,0
dwill_us,1,0
juicethelame,1,1
memeazons,1,0
ixi_scep,1,0
bo4spicy,1,0
overwatch_short_clips,1,0
stonecenter.durhamnc,1,0
a_random_accoun,1,0
andysdesign0229,1,0
leosefar,1,0
breakingvanessa,1,1
kryptic_ninja_,1,1
jagaha.com_,1,0
goodgamereport,1,1
littlehoundgaming,1,0
schizomaniac69,1,1
hg._clan,1,0
use_code_itzdazzayt,1,0
knightninja465,1,0
lone_wolf_pc_xbox,1,0
fortnite._leaks._,1,0
ytfrankiebailey,1,0
phillox_,1,1
robertgraham9150,1,1
joceanleo,1,1
jeterjkt_gaming,1,0
charmingmisfit,1,1
primospizza618,1,0
twitch_paranoia,1,1
xdome__collector,1,1
erintatta,1,0
justinabrpt,1,0
astroavery15,1,1
