account_id,username,user_profile,time_unfollowed,following_button,unfollow_button,actually_unfollowed,possible_404,time_checked,redo_following_button,redo_unfollow_button,redo_time
2309226591,abdul.rafay_11,https://www.instagram.com/abdul.rafay_11,2019-04-23 00:17:06.621216,nan,nan,0,0,2019-05-26 06:00:29.972900,n/a,n/a,2019-06-02 17:11:20.757829
4617168904,theofficialgibbay,https://www.instagram.com/theofficialgibbay,2019-04-23 00:17:29.707062,nan,nan,0,0,2019-05-26 06:00:33.631107,n/a,n/a,2019-06-02 17:11:21.812599
9313445805,andersonpsgames,https://www.instagram.com/andersonpsgames,2019-04-23 00:17:52.759326,nan,nan,0,0,2019-05-26 06:00:37.389868,n/a,n/a,2019-06-02 17:11:22.819857
1585366280,the_wolfe_pac,https://www.instagram.com/the_wolfe_pac,2019-04-23 00:18:16.176439,nan,nan,0,0,2019-05-26 06:00:41.216877,n/a,n/a,2019-06-02 17:11:23.823889
8694355831,aresthevillain,https://www.instagram.com/aresthevillain,2019-04-23 00:18:39.298705,nan,nan,0,0,2019-05-26 06:00:44.608049,n/a,n/a,2019-06-02 17:11:24.828689
1287142755,playstationinfo.access,https://www.instagram.com/playstationinfo.access,2019-04-23 00:19:02.659841,nan,nan,0,0,2019-05-26 06:00:48.474828,n/a,n/a,2019-06-02 17:20:04.279831
1421777549,jammyjimjay,https://www.instagram.com/jammyjimjay,2019-04-23 00:19:25.837857,nan,nan,0,1,2019-05-26 06:00:51.020610,n/a,n/a,2019-06-02 17:20:05.340399
911423265,realhksmash,https://www.instagram.com/realhksmash,2019-04-23 00:19:48.860020,nan,nan,0,0,2019-05-26 06:00:54.779094,n/a,n/a,2019-06-02 17:20:06.345199
7351697449,dekori_5513,https://www.instagram.com/dekori_5513,2019-04-23 00:20:12.365913,nan,nan,0,0,2019-05-26 06:00:58.408762,n/a,n/a,2019-06-02 17:20:07.352793
1552640041,jsmondays,https://www.instagram.com/jsmondays,2019-04-23 00:20:35.288431,nan,nan,0,1,2019-05-26 06:01:01.017070,n/a,n/a,2019-06-02 17:20:08.359614
4147126296,guntursyabani,https://www.instagram.com/guntursyabani,2019-04-23 00:20:58.782295,nan,nan,0,0,2019-05-26 06:01:04.647484,n/a,n/a,2019-06-02 17:26:19.874691
4096995350,shazad_khan11,https://www.instagram.com/shazad_khan11,2019-04-23 00:21:21.463217,nan,nan,0,0,2019-05-26 06:01:07.943018,n/a,n/a,2019-06-02 17:26:21.085040
1373073413,_frank.1k,https://www.instagram.com/_frank.1k,2019-04-23 00:21:44.458556,nan,nan,0,0,2019-05-26 06:01:11.369329,n/a,n/a,2019-06-02 17:26:22.092273
2206846979,jacobray.jpeg,https://www.instagram.com/jacobray.jpeg,2019-04-23 00:22:07.819802,nan,nan,0,0,2019-05-26 06:01:14.628074,n/a,n/a,2019-06-02 17:26:23.099285
1183285299,nphoangminh,https://www.instagram.com/nphoangminh,2019-04-23 00:22:30.909827,nan,nan,0,0,2019-05-26 06:01:17.770459,n/a,n/a,2019-06-02 17:26:24.107508
1670543406,camtheman1215,https://www.instagram.com/camtheman1215,2019-04-23 00:22:54.064009,nan,nan,0,0,2019-05-26 06:01:20.929774,n/a,n/a,2019-06-02 17:31:24.622972
